［受付年月日］,［契約当事者年齢］,［契約当事者性別等］,［契約当事者地域］,［超大分類］,［商品・役務名］,［件名］,［相談概要］,［契約・申込の有無］,［契約購入年月日］,［販売購入形態］,［決済・販売方法］,［信用供与の有無］,［信用供与の有無詳細］,［支払手段］,［契約購入金額］,［内容別分類］,［内容等ＫＷ］,［処理結果概要］,［救済金額］,［救済金額の内容］
2024年3月29日,58歳,1.男,201.奈良市,1.商品,バイク,昨日、パイクに買取のチラシが貼られたいた。業者に買取を依頼したが、ネットに良くない情報がある。業者の信頼性を確かめたい。,昨日、自宅のバイクに買取のチラシが貼られていたので、業者に電話で買取を申し込んだ。その後、ネットで業者を検索したところ、良くない情報があったので、業者の信頼性を確認したい。,1.既に契約・申込した,2024年3月28日,1.訪問販売,,4.不明・無関係,,,,06.表示・広告,ﾅｹﾞｺﾐｺｳｺｸ　ｶﾃｲﾎｳﾊﾝ　ｼﾝﾖｳｾｲ,高額買取のチラシを貼付して、実際は安値で買取られるトラブルもあり、業者に良く確認するよう助言した。相談者は「業者にキャンセルを申しいれる」と言い、その後「無事にキャンセルができた」と報告があったので、相談を終了した。,,
2024年3月29日,,3.団体等,201.奈良市,2.役務,マンション火災保険,マンション管理組合長。組合で加入している火災保険の保険料が大幅に値上げされた。業者から値上げの根拠の説明が無く不納得。,築３５年のマンションの管理組合長である。３年前に、組合として、契約期間５年間の火災保険に加入している。先月保険業者から、保険料値上げの通知が届き、追加料金として８０万円を請求された。現在、請求内容について、業者からの説明を求めており、回答待ちである。回答に納得できない場合は支払いを拒絶できるかどうか知りたい。,1.既に契約・申込した,202106,0.店舗購入,,1.無,101.即時払,,,04.価格・料金　08.契約・解約,ｾﾂﾒｲﾌﾞｿｸ　ﾈｱｹﾞ　ﾌﾄｳｾｲｷﾕｳ@　ｺｳｶｶｸ･ﾘﾖｳｷﾝ,保険料率の値上げについて情報提供した。業者からの返答を待ち、問題が解決しない内容であれば、法律相談を受けるよう案内した。,,
2024年3月29日,75歳,1.男,201.奈良市,2.役務,パソコンサポート詐欺,７日前にＰＣ閲覧中、警告音と共に、ウイルス感染警告表示が出たのですぐに電源を落とした。表示が消えているかどうか不安だ。,７日前にＰＣ閲覧中、警告音と共に、ウイルス感染警告表示と、サポートセンターの問い合わせ先が出たが、慌てていたのですぐに電源を落とした。その後ＰＣは触っていないが、表示が消えているかどうか不安だ。対処法を知りたい。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法,ﾆｾｹｲｺｸ　ｻｷﾞ　ﾋﾖｳｼﾞ@,同種相談事例を紹介し、詐欺であるのでこのまま無視をするよう助言した。また、情報処理推進機構の相談窓口を案内した。,,
2024年3月29日,50歳,2.女,201.奈良市,1.商品,月刊誌,２月中旬、２月１日発行の３月号から１年間の月刊誌の定期購入を契約。２月末にしか３月号が届かず解約したが業者の対応に不満。,２月中旬、２月１日発行の３月号から１年間の月刊誌の定期購入を契約した。すぐに欲しかった３月号が２月末にしか届かず、解約した。しかし、業者は、特典商品の付録全てと送付された月刊誌を、元払いで送付するよう言ってきた。月刊誌の送付を迅速にしない業者に問題があると思うのに、こうした対応をされることに納得できない。,1.既に契約・申込した,202402,2.通信販売,,4.不明・無関係,,,,09.接客対応,ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ﾍﾝﾋﾟﾝ　ｸﾚｰﾑｼﾖﾘ　ｹｲﾋﾝﾂｷﾊﾝﾊﾞｲ,相談者には、「申込み自体が、２月中旬であれば、雑誌の送付が２月末になっても仕方ないのではないか。また、こうした自己都合による解約の場合は、すべての商品を返送し、元払いになる」と伝え、了承された。,,
2024年3月29日,50歳,2.女,201.奈良市,2.役務,行政書士,１カ月前、夫が死亡し葬式をした。最近、この葬儀社を騙り電話があり、相続手続きの手伝いをするという行政書士で迷惑だ。,１カ月前、夫が死亡し葬式をした。最近、この葬儀社を騙り電話があり、相続手続きの手伝いをするというインターネット行政書士で、遺言信託などの業務を請け負うなど売り込んできた。まだ、夫の死去について悲しみにくれているのに、失礼だし迷惑だ。このような勧誘はしないでほしい。,2.まだ契約・申込していない,,4.電話勧誘販売,,4.不明・無関係,,,,07.販売方法,ﾃﾞﾝﾜｶﾝﾕｳ　ﾐﾌﾞﾝｻｼﾖｳ　ﾓﾝﾀﾞｲｶﾝﾕｳ,相談者は、ただ聞いてほしいとのことで聞き置いた。,,
2024年3月29日,50歳,2.女,201.奈良市,1.商品,クッキー,夫の葬儀参加者へのお礼の品を、葬儀社紹介の業者から選んだ。クッキーだったが、原料に紅麹が使用されていた。返金してほしい。,夫の葬儀参加者へのお礼の品を、葬儀社紹介の業者から選んだ。クッキーだったが、原料に紅麹が使用されていた。田舎の親せきから指摘され、大恥をかいた。業者に伝えると、商品交換はすると言われているが、返金してほしいし、慰謝料も請求したい。,1.既に契約・申込した,202402,2.通信販売,,4.不明・無関係,,,,01.安全・衛生　02.品質・機能、役務品質　08.契約・解約,ﾍﾝﾋﾟﾝ　ﾍﾝｷﾝ　ｸﾚｰﾑｼﾖﾘ　ｻｲｷﾝﾙｲ　ﾎｼﾖｳ,紅麹菌については、現在詳細も不明で、発表されている事業者の製品以外の対応については、業者の対応に従うしかないのではないかと伝えた。,,
2024年3月29日,43歳,2.女,201.奈良市,1.商品,化粧品,２カ月前、ネット通販で友人の出産祝いを購入し、先日友人に渡したら、商品が２つ不足していた。通販会社に商品を送ってほしい。,４カ月ほど前、ネット通販で友人の出産祝いを注文した。お祝いの品物なので、梱包を開封しないまま保管していた。購入金額は９，６３１円で、４，３４４円分の通販サイトのポイントを使い、残りの５，２８７円はコンビニで支払った。３日前、友人にお祝いを渡したところ、注文した商品のうち、化粧品２つが入っていなかった。注文履歴には該当の商品は記載されている。商品受け取り後、相当時間が経っているが、センターから業者に苦情を伝え、商品を送るよう指示してほしい。,1.既に契約・申込した,2023年12月3日,2.通信販売,ＧＭＯ後払い,2.販売信用,205.２か月内払い,,"9,631円",08.契約・解約,ﾁﾕｳﾓﾝﾋﾝﾁｶﾞｲ　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ﾎﾟｲﾝﾄｻｰﾋﾞｽ,まずは、相談者から業者に商品未着を伝えてみるよう助言した。そうしたところ、「業者から、『未着になっている商品を配送もしくは返金する』との提案があったので、商品の発送を依頼した」と報告があり、相談を終了した。,,
2024年3月29日,78歳,1.男,201.奈良市,1.商品,シミ取りクリーム,３週間前、スマホの通販でシミ取りクリームを申し込んだら、定期購入だった。２回めが送られてきたが、２回目分を解約したい。,３週間前、スマホの通販でシミ取りクリームを１回だけのお試しのつもりで、１９８０円で申し込んだ。その後、２週間ほどして、２回目が３本セットで１９８００円の請求書が入り、送られてきた。頼んだ覚えもないし、そんな高額なものを３本も不要だ。２回目分を解約したい。こんな売り方をしている業者は、詐欺ではないか。,1.既に契約・申込した,2024年3月8日,2.通信販売,,2.販売信用,205.２か月内払い,,"19,800円",04.価格・料金　06.表示・広告　07.販売方法　08.契約・解約,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　SNS　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｶｲﾔｸ@　ﾃｲｷｺｳﾆﾕｳ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ,センターから事業者に連絡したところ、使用していない２回目分を元払いで送付し、１回目分は正規料金１７８０円との差額の８８００円を支払えば、解約を認めるとのことだった。その旨、相談者に伝え、解約となった。,"11,800円",01.回復額
2024年3月29日,75歳,2.女,201.奈良市,1.商品,車の売却,ネットで検索した業者に車の査定を申込んだ。業者から電話で急かされて売却合意したが後悔。解約申請すると解約料を請求された。,１８年利用した乗用車を手放すため、ネットで検索した業者に車の査定を申込んだ。後刻業者から電話が入り、「今日中に契約してくれたら５万円で買い取る」と言われた。迷っていると「早く決めてください」など急かされたので５万円で売却合意した。しかし、売却契約を後悔し、キャンセルすることにした。解約申請すると、「３万円の解約料がかかる」と言われた。昨日業者から書面を受け取り、３万円の解約料の記載を確認した。無条件取り消しできないのだろうか。,1.既に契約・申込した,2024年3月25日,4.電話勧誘販売,,1.無,101.即時払,,"50,000円",04.価格・料金　07.販売方法　08.契約・解約,ﾃﾞﾝﾜｶﾝﾕｳ　ｺﾞｳｲﾝ　ｶｲﾔｸ@　ｶｲﾔｸﾘﾖｳ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ,口頭で契約は成立していると考えられ、原則として業者の規約に則ることになることを伝えた。しかし、勧誘時に急かされ、困惑して契約したことを伝え、取り消し交渉してはどうかと助言した。後刻相談者から「業者に契約時の状況を説明し、無条件取り消しを求めたところ、応じてもらえた」と報告を得たので相談を終了した。,"30,000円",01.回復額
2024年3月29日,94歳,2.女,201.奈良市,1.商品,プロパンガス,一人暮らしの高齢の母親が、施設に入所予定である。母宅のプロパンガスの撤去を依頼したら、費用を請求された。納得できない。,一人暮らしの高齢の母親が、施設に入所する予定である。母宅のプロパンガスの撤去を業者に依頼すると、メーターとボンベの撤去費用として１５，０００円の見積りが出された。メーターとボンベの撤去にそのような費用を支払う必要があるのか、納得できない。なお、このプロパンガスの契約書類は確認できていない。,1.既に契約・申込した,,0.店舗購入,,4.不明・無関係,,,"15,000円",08.契約・解約,ｶｲﾔｸﾘﾖｳ　ｶｲﾔｸ@　ﾌﾄｳｾｲｷﾕｳ@　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾐﾂﾓﾘ@,センターから業者に撤去費用について確認したところ、「契約書面にメーターとボンベの撤去時に費用が発生することを記載している。設置場所や設置規模によって費用は異なるため、見積りを提示している」との回答だった。相談者にその旨を伝え、契約書面の確認と、疑問があれば直接業者に確認するように伝え、相談を終了した。,,
